Class,Genus,Species,Common name,Mass_kg,Max_longevity_yr,log10M,log10T
Aves,Larus,occidentalis,Western gull,0.9315,33.9,-0.030817140767738567,1.530199698203082
Aves,Larus,pacificus,Pacific gull,1.3135,24.3,0.11843007712208906,1.3856062735983121
Aves,Leucophaeus,atricilla,Laughing gull,0.2756,22.0,-0.5597207867644118,1.3424226808222062
Aves,Onychoprion,anaethetus,Bridled tern,0.1333,24.9,-0.8751698505861408,1.3961993470957363
Aves,Onychoprion,fuscatus,Sooty tern,0.148,35.8,-0.8297382846050426,1.5538830266438743
Aves,Onychoprion,lunatus,Gray-backed tern,0.13169999999999998,25.8,-0.8804142250382163,1.41161970596323
Aves,Pagophila,eburnea,Ivory gull,0.55,23.9,-0.2596373105057561,1.3783979009481377
Aves,Procelsterna,cerulea,Blue-gray noddy,0.053,15.0,-1.275724130399211,1.1760912590556813
Aves,Rissa,brevirostris,Red-legged kittiwake,0.377,27.0,-0.42365864979420714,1.4313637641589874
Aves,Rissa,tridactyla,Black-legged kittiwake,0.317,28.5,-0.49894073778224846,1.4548448600085102
Aves,Rynchops,niger,Black skimmer,0.315,20.2,-0.5016894462103995,1.3053513694466237
Aves,Sterna,dougallii,Roseate tern,0.112,25.7,-0.9507819773298184,1.4099331233312946
Aves,Sterna,forsteri,Forster's tern,0.158,15.8,-0.8013429130455774,1.1986570869544226
Aves,Sterna,hirundo,Common tern,0.12,33.0,-0.9208187539523752,1.5185139398778875
Aves,Sterna,paradisaea,Arctic tern,0.1,34.0,-1.0,1.5314789170422551
Aves,Sternula,albifrons,Little tern,0.031,23.9,-1.5086383061657274,1.3783979009481377
Aves,Sternula,antillarum,Least tern,0.04,24.1,-1.3979400086720375,1.3820170425748683
Aves,Sternula,nereis,Fairy tern,0.07215,17.2,-1.141763664570487,1.235528446907549
Aves,Thalasseus,bengalensis,Lesser crested tern,0.213,14.0,-0.6716203965612623,1.146128035678238
Aves,Thalasseus,bergii,Greater crested tern,0.3345,32.2,-0.47560387789615804,1.507855871695831
Aves,Thalasseus,elegans,Elegant tern,0.251,20.9,-0.6003262785189618,1.320146286111054
Aves,Thalasseus,maximus,Royal tern,0.373,28.6,-0.4282911681913124,1.4563660331290431
Aves,Thalasseus,sandvicensis,Sandwich tern,0.25,30.8,-0.6020599913279624,1.4885507165004443
Aves,Pedionomus,torquatus,Plains-wanderer,0.0678,2.3,-1.1687703061329366,0.36172783601759284
Aves,Cladorhynchus,leucocephalus,Banded stilt,0.21525,11.3,-0.6670568398743076,1.0530784434834197
Aves,Himantopus,himantopus,Black-winged stilt,0.161,16.0,-0.7931741239681502,1.2041199826559248
Aves,Himantopus,mexicanus,Black-necked (Hawaiian) stilt,0.186,25.0,-0.7304870557820837,1.3979400086720377
Aves,Recurvirostra,avosetta,Pied avocet,0.304,27.8,-0.5171264163912462,1.4440447959180762
Aves,Actitis,hypoleucos,Common sandpiper,0.048,14.5,-1.3187587626244128,1.1613680022349748
Aves,Actitis,macularius,Spotted sandpiper,0.034,12.0,-1.4685210829577449,1.0791812460476249
Aves,Arenaria,interpres,Ruddy turnstone,0.136,22.3,-0.8664610916297825,1.3483048630481607
Aves,Bartramia,longicauda,Upland sandpiper,0.141,8.9,-0.8507808873446201,0.9493900066449128
Aves,Calidris,acuminata,Sharp-tailed sandpiper,0.0677,8.6,-1.1694113313148558,0.9344984512435677
Aves,Calidris,alba,Sanderling,0.05,18.6,-1.3010299956639813,1.2695129442179163
Aves,Calidris,alpina,Dunlin,0.0525,28.8,-1.2798406965940432,1.4593924877592308
Aves,Calidris,canutus,Red knot,0.135,27.3,-0.8696662315049939,1.436162647040756
Aves,Calidris,ferruginea,Curlew sandpiper,0.0581,19.7,-1.2358238676096693,1.294466226161593
Aves,Calidris,himantopus,Stilt sandpiper,0.0573,11.1,-1.24184537803261,1.0453229787866574
Aves,Calidris,maritima,Purple sandpiper,0.06520000000000001,20.8,-1.1857524042680798,1.3180633349627615
Aves,Calidris,mauri,Western sandpiper,0.02619,9.2,-1.5818645015747679,0.9637878273455552
Aves,Calidris,minuta,Little stint,0.0211,14.7,-1.6757175447023074,1.167317334748176
Aves,Calidris,minutilla,Least sandpiper,0.026,16.0,-1.585026652029182,1.2041199826559248
Aves,Calidris,pusilla,Semipalmated sandpiper,0.027,19.3,-1.5686362358410126,1.2855573090077739
Aves,Calidris,ruficollis,Red-necked stint,0.026949999999999998,21.8,-1.5694412304772425,1.3384564936046048
Aves,Calidris,temminckii,Temminck's stint,0.023,12.9,-1.6382721639824072,1.110589710299249
Aves,Calidris,tenuirostris,Great knot,0.179167,20.9,-0.7467419781430373,1.320146286111054
Aves,Gallinago,delicata,Wilson's snipe,0.122,9.2,-0.9136401693252518,0.9637878273455552
Aves,Gallinago,gallinago,Common snipe,0.1316,18.2,-0.8807441107220633,1.2600713879850747
Aves,Gallinago,media,Great snipe,0.1745,5.9,-0.7582045687048014,0.7708520116421442
Aves,Limicola,falcinellus,Broad-billed sandpiper,0.0371,11.6,-1.4306260903849541,1.0644579892269186
Aves,Limnodromus,griseus,Short-billed dowitcher,0.105,13.3,-0.978810700930062,1.1238516409670858
Aves,Limnodromus,scolopaceus,Long-billed dowitcher,0.13,13.2,-0.8860566476931632,1.1205739312058498
Aves,Limosa,fedoa,Marbled godwit,0.336,13.7,-0.4736607226101559,1.1367205671564067
Aves,Limosa,lapponica,Bar-tailed godwit,0.322,34.0,-0.4921441283041691,1.5314789170422551
Aves,Limosa,limosa,Black-tailed godwit,0.294,23.6,-0.5316526695878427,1.3729120029701067
Aves,Lymnocryptes,minimus,Jack snipe,0.0502,12.3,-1.2992962828549806,1.089905111439398
Aves,Numenius,arquata,Eurasian curlew,0.728,31.8,-0.13786862068696282,1.5024271199844328
Aves,Numenius,madagascariensis,Eastern curlew,0.82475,19.1,-0.08367767578261852,1.2810333672477277
Aves,Numenius,phaeopus,Whimbrel,0.36569999999999997,24.2,-0.4368750396619557,1.3838153659804313
Aves,Numenius,tahitiensis,Bristle-thighed curlew,0.4086,23.8,-0.3887016377035712,1.376576957056512
